underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2017-10-23,SPXW,2018-03-29,2300.000,P,20.7000,22.7400,20.7000,22.7400,193,510,22.4000,120,22.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.1681,-0.1480,0.0008,-0.1934,3.8680,-172.2408,30,23.1000,30,23.6000,2536.0900,2586.0200,21.4359,4690,
^SPX,2017-10-23,SPXW,2018-03-29,2325.000,C,0.0000,0.0000,0.0000,0.0000,0,1,263.0000,1,263.7000,2565.8000,2566.3000,2551.5482,2566.0500,0.1612,0.8372,0.0009,-0.2753,4.1189,805.6888,1,262.7000,1,263.7000,2536.0900,2586.0200,0.0000,208,
^SPX,2017-10-23,SPXW,2018-03-29,2325.000,P,23.2900,25.3200,23.2100,25.3200,97,409,24.8000,40,25.1000,2565.8000,2566.3000,2551.5482,2566.0500,0.1625,-0.1646,0.0009,-0.1995,4.1480,-191.4256,30,25.5000,20,26.0000,2536.0900,2586.0200,24.1260,197,
^SPX,2017-10-23,SPXW,2018-03-29,2350.000,C,0.0000,0.0000,0.0000,0.0000,0,1,240.9000,1,241.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.1559,0.8181,0.0010,-0.2824,4.4207,794.2741,1,240.6000,1,241.6000,2536.0900,2586.0200,0.0000,1005,
^SPX,2017-10-23,SPXW,2018-03-29,2350.000,P,0.0000,0.0000,0.0000,0.0000,0,398,27.4000,100,27.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.1570,-0.1834,0.0010,-0.2053,4.4438,-213.2407,20,28.2000,20,28.7000,2536.0900,2586.0200,0.0000,1788,
^SPX,2017-10-23,SPXW,2018-03-29,2375.000,C,0.0000,0.0000,0.0000,0.0000,0,1,219.0000,41,219.7000,2565.8000,2566.3000,2551.5482,2566.0500,0.1505,0.7967,0.0011,-0.2886,4.7312,780.2253,1,218.8000,1,219.8000,2536.0900,2586.0200,0.0000,321,
^SPX,2017-10-23,SPXW,2018-03-29,2375.000,P,28.5600,30.0000,28.4800,30.0000,20,445,30.3000,30,30.7000,2565.8000,2566.3000,2551.5482,2566.0500,0.1513,-0.2044,0.0011,-0.2098,4.7465,-237.4711,30,31.1000,20,31.7000,2536.0900,2586.0200,29.4375,6374,
^SPX,2017-10-23,SPXW,2018-03-29,2400.000,C,0.0000,0.0000,0.0000,0.0000,0,1,197.5000,41,198.2000,2565.8000,2566.3000,2551.5482,2566.0500,0.1450,0.7727,0.0012,-0.2935,5.0478,763.1400,1,197.3000,1,198.3000,2536.0900,2586.0200,0.0000,1074,
^SPX,2017-10-23,SPXW,2018-03-29,2400.000,P,31.8700,34.0000,31.8700,34.0000,25,468,33.6000,80,34.1000,2565.8000,2566.3000,2551.5482,2566.0500,0.1457,-0.2282,0.0012,-0.2137,5.0600,-265.1111,10,34.5000,20,35.1000,2536.0900,2586.0200,32.4016,859,
^SPX,2017-10-23,SPXW,2018-03-29,2425.000,C,0.0000,0.0000,0.0000,0.0000,0,1,176.4000,41,177.1000,2565.8000,2566.3000,2551.5482,2566.0500,0.1393,0.7457,0.0014,-0.2968,5.3659,742.5844,1,176.2000,1,177.2000,2536.0900,2586.0200,0.0000,445,
^SPX,2017-10-23,SPXW,2018-03-29,2425.000,P,35.2000,38.0000,35.2000,38.0000,27,456,37.3000,50,37.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.1398,-0.2550,0.0014,-0.2158,5.3739,-296.0610,10,38.2000,20,38.9000,2536.0900,2586.0200,36.1630,7170,
^SPX,2017-10-23,SPXW,2018-03-29,2450.000,C,172.5000,172.5000,163.0000,163.0000,826,1,155.8000,45,156.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.1335,0.7152,0.0015,-0.2984,5.6798,717.9387,1,155.7000,1,156.6000,2536.0900,2586.0200,164.6036,1414,
^SPX,2017-10-23,SPXW,2018-03-29,2450.000,P,38.7000,40.0500,38.7000,40.0500,32,453,41.5000,10,42.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.1339,-0.2853,0.0015,-0.2162,5.6845,-331.1251,10,42.4000,10,43.1000,2536.0900,2586.0200,39.2638,861,
^SPX,2017-10-23,SPXW,2018-03-29,2475.000,C,0.0000,0.0000,0.0000,0.0000,0,1,135.8000,45,136.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.1277,0.6806,0.0017,-0.2977,5.9799,688.5872,1,135.7000,1,136.6000,2536.0900,2586.0200,0.0000,668,
